◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
Targets: 1224
[499/1224] ❌ nebraska-lincoln:mens
[500/1224] ❌ nebraska-lincoln:womens
[501/1224] ❌ nevada:mens
[502/1224] ❌ nevada:womens
[503/1224] ❌ unlv:mens
[504/1224] ❌ unlv:womens
[505/1224] ❌ nevada-reno:mens
[506/1224] ❌ nevada-reno:womens
[507/1224] ❌ new-hampshire:mens
[508/1224] ❌ new-hampshire:womens
[509/1224] ❌ newmexico:mens
[510/1224] ❌ newmexico:womens
[511/1224] ❌ north-alabama:mens
[512/1224] ❌ north-alabama:womens
[513/1224] ❌ unc:mens
[514/1224] ❌ unc:womens
[515/1224] ❌ unca:mens
[516/1224] ❌ unca:womens
[517/1224] ❌ charlotte:mens
[518/1224] ❌ charlotte:womens
[519/1224] ❌ uncg:mens
[520/1224] ❌ uncg:womens
[521/1224] ❌ uncw:mens
[522/1224] ❌ uncw:womens
[523/1224] ❌ north-florida:mens
[524/1224] ❌ north-florida:womens
[525/1224] ❌ northtexas:mens
[526/1224] ❌ northtexas:womens
[527/1224] ❌ northern-iowa:mens
[528/1224] ❌ northern-iowa:womens
[529/1224] ❌ notredame:mens
[530/1224] ❌ notredame:womens
[531/1224] ❌ oklahoma:mens
[532/1224] ❌ oklahoma:womens
[533/1224] ❌ oregon:mens
[534/1224] ❌ oregon:womens
[535/1224] ❌ penn:mens
[536/1224] ❌ penn:womens
[537/1224] ❌ pitt:mens
[538/1224] ❌ pitt:womens
[539/1224] ❌ portland:mens
[540/1224] ❌ portland:womens
[541/1224] ❌ rhode-island:mens
[542/1224] ❌ rhode-island:womens
[543/1224] ❌ richmond:mens
[544/1224] ❌ richmond:womens
[545/1224] ❌ sandiego:mens
[546/1224] ❌ sandiego:womens
[547/1224] ❌ sanfrancisco:mens
[548/1224] ❌ sanfrancisco:womens
[549/1224] ❌ south-alabama:mens
[550/1224] ❌ south-alabama:womens
[551/1224] ❌ southcarolina:mens
[552/1224] ❌ southcarolina:womens
[553/1224] ❌ south-dakota:mens
[554/1224] ❌ south-dakota:womens
[555/1224] ❌ usf:mens
[556/1224] ❌ usf:womens
[557/1224] ❌ usc:mens
[558/1224] ❌ usc:womens
[559/1224] ❌ southern-indiana:mens
[560/1224] ❌ southern-indiana:womens
[561/1224] ❌ st-thomas-mn:mens
[562/1224] ❌ st-thomas-mn:womens
[563/1224] ❌ tennessee:mens
[564/1224] ❌ tennessee:womens
[565/1224] ❌ ut-martin:mens
[566/1224] ❌ ut-martin:womens
[567/1224] ❌ texas:mens
[568/1224] ❌ texas:womens
[569/1224] ❌ utsa:mens
[570/1224] ❌ utsa:womens
[571/1224] ❌ uiw:mens
[572/1224] ❌ uiw:womens
[573/1224] ❌ pacific:mens
[574/1224] ❌ pacific:womens
[575/1224] ❌ toledo:mens
[576/1224] ❌ toledo:womens
[577/1224] ❌ utah:mens
[578/1224] ❌ utah:womens
[579/1224] ❌ vermont:mens
[580/1224] ❌ vermont:womens
[581/1224] ❌ virginia:mens
[582/1224] ❌ virginia:womens
[583/1224] ❌ washington:mens
[584/1224] ❌ washington:womens
[585/1224] ❌ wisconsin:mens
[586/1224] ❌ wisconsin:womens
[587/1224] ❌ uw-green-bay:mens
[588/1224] ❌ uw-green-bay:womens
[589/1224] ❌ uw-milwaukee:mens
[590/1224] ❌ uw-milwaukee:womens
[591/1224] ❌ wisconsin-madison:mens
[592/1224] ❌ wisconsin-madison:womens
[593/1224] ❌ wyoming:mens
[594/1224] ❌ wyoming:womens
[595/1224] ❌ utrgv:mens
[596/1224] ❌ utrgv:womens
[597/1224] ❌ utah-state:mens
[598/1224] ❌ utah-state:womens
[599/1224] ❌ utah-valley:mens
[600/1224] ❌ utah-valley:womens
[601/1224] ❌ valparaiso:mens
[602/1224] ❌ valparaiso:womens
[603/1224] ❌ vanderbilt:mens
[604/1224] ❌ vanderbilt:womens
[605/1224] ❌ villanova:mens
[606/1224] ❌ villanova:womens
[607/1224] ❌ vcu:mens
[608/1224] ❌ vcu:womens
[609/1224] ❌ vmi:mens
[610/1224] ❌ vmi:womens
[611/1224] ❌ virginiatech:mens
[612/1224] ❌ virginiatech:womens
[613/1224] ❌ wagner:mens
[614/1224] ❌ wagner:womens
[615/1224] ❌ wakeforest:mens
[616/1224] ❌ wakeforest:womens
[617/1224] ❌ washington-1:mens
[618/1224] ❌ washington-1:womens
[619/1224] ❌ wvu:mens
[620/1224] ❌ wvu:womens
[621/1224] ❌ western-carolina:mens
[622/1224] ❌ western-carolina:womens
[623/1224] ❌ western-illinois:mens
[624/1224] ❌ western-illinois:womens
[625/1224] ❌ western-kentucky:mens
[626/1224] ❌ western-kentucky:womens
[627/1224] ❌ western-michigan:mens
[628/1224] ❌ western-michigan:womens
[629/1224] ❌ winthrop:mens
[630/1224] ❌ winthrop:womens
[631/1224] ❌ wofford:mens
[632/1224] ❌ wofford:womens
[633/1224] ❌ wright-state:mens
[634/1224] ❌ wright-state:womens
[635/1224] ❌ xavier:mens
[636/1224] ❌ xavier:womens
[637/1224] ❌ yale:mens
[638/1224] ❌ yale:womens
[639/1224] ❌ adams-state:mens
[640/1224] ❌ adams-state:womens
[641/1224] ❌ adelphi:mens
[642/1224] ❌ adelphi:womens
[643/1224] ❌ tampa2:mens
[644/1224] ❌ tampa2:womens
[645/1224] ❌ anderson-sc:mens
[646/1224] ❌ anderson-sc:womens
[647/1224] ❌ ashland:mens
[648/1224] ❌ ashland:womens
[649/1224] ❌ assumption:mens
[650/1224] ❌ assumption:womens
[651/1224] ❌ auburn-montgomery:mens
[652/1224] ❌ auburn-montgomery:womens
[653/1224] ❌ azusa-pacific:mens
[654/1224] ❌ azusa-pacific:womens
[655/1224] ❌ barry:mens
[656/1224] ❌ barry:womens
[657/1224] ❌ belmont-abbey:mens
[658/1224] ❌ belmont-abbey:womens
[659/1224] ❌ bemidji-state:mens
[660/1224] ❌ bemidji-state:womens
[661/1224] ❌ bentley:mens
[662/1224] ❌ bentley:womens
[663/1224] ❌ calpolyPomona:mens
[664/1224] ❌ calpolyPomona:womens
[665/1224] ❌ cal-state-humboldt:mens
[666/1224] ❌ cal-state-humboldt:womens
[667/1224] ❌ cal-state-dominguez:mens
[668/1224] ❌ cal-state-dominguez:womens
[669/1224] ❌ cal-state-east-bay:mens
[670/1224] ❌ cal-state-east-bay:womens
[671/1224] ❌ cal-state-la:mens
[672/1224] ❌ cal-state-la:womens
[673/1224] ❌ cal-state-monterey-bay:mens
[674/1224] ❌ cal-state-monterey-bay:womens
[675/1224] ❌ cal-state-san-bernardino:mens
[676/1224] ❌ cal-state-san-bernardino:womens
[677/1224] ❌ cal-state-san-marcos:mens
[678/1224] ❌ cal-state-san-marcos:womens
[679/1224] ❌ carsonNewman:mens
[680/1224] ❌ carsonNewman:womens
[681/1224] ❌ catawba:mens
